tweet_text,synthesized_summary,responder_role,secondary_annotation,disaster_type,information_type,input_text,source_row_id
"Deadly Colorado Floods - http://t.co/ylAu3rPKjG.  #watchmemes,#Weather, #viralvideos http://t.co/AoBzHhzJ9P",Police should assess threats to public safety and coordinate with DCC in response to the reported Colorado floods.,Police,DCC,Floods,Infrastructure and utilities,"Responder Roles: Police
Disaster Type: Floods
Tweet: Deadly Colorado Floods - http://t.co/ylAu3rPKjG.  #watchmemes,#Weather, #viralvideos http://t.co/AoBzHhzJ9P
Secondary Annotations: DCC
Information Type: Infrastructure and utilities",13452
Helicopter collecting water for multiple cars on fire at Sydney Olympic ...: http://t.co/0bnRm2cZ89 via @youtube @ChrisBath7,Firefighters should evaluate water collection for fire suppression and monitor the situation involving multiple burning vehicles.,Firefighter,FC,Wildfire,Infrastructure and utilities,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Helicopter collecting water for multiple cars on fire at Sydney Olympic ...: http://t.co/0bnRm2cZ89 via @youtube @ChrisBath7
Secondary Annotations: FC
Information Type: Infrastructure and utilities",8689
Scientists find fragments of meteor: What was in that meteor that exploded spectacularly over Russia's Urals reg... http://t.co/eBI4MILu,Police should monitor public response and assess safety concerns regarding the meteor fragments found in Russia's Urals.,Police,DCC,Meteorite,Other Useful Information,"Responder Roles: Police
Disaster Type: Meteorite
Tweet: Scientists find fragments of meteor: What was in that meteor that exploded spectacularly over Russia's Urals reg... http://t.co/eBI4MILu
Secondary Annotations: DCC
Information Type: Other Useful Information",21523
"RT @gmanews: NDRRMC: As of 10am—325 dead, 411 injured, 379 missing, 181k persons in evacuation centers. | #PabloPH via @MarkSalazarGMA7","Police should manage crowd control at evacuation centers, while firefighters may need to conduct search and rescue for missing persons.",Police/Firefighter,DCC/USAR,Typhoon,Affected individuals,"Responder Roles: Police, Firefighter
Disaster Type: Typhoon
Tweet: RT @gmanews: NDRRMC: As of 10am—325 dead, 411 injured, 379 missing, 181k persons in evacuation centers. | #PabloPH via @MarkSalazarGMA7
Secondary Annotations: DCC, USAR
Information Type: Affected individuals",6327
"RT @teton30: Walking wounded” from West blast continue to arrive at the Waco hospital, administrator says. #west #westexplosion",EMS should prioritize triage for the walking wounded arriving at the hospital following the explosion.,EMS,MMU,Explosion,Affected individuals,"Responder Roles: EMS
Disaster Type: Explosion
Tweet: RT @teton30: Walking wounded” from West blast continue to arrive at the Waco hospital, administrator says. #west #westexplosion
Secondary Annotations: MMU
Information Type: Affected individuals",27633
Shooting in Terminal 3? Hard to get specifics. RT @TOPolk What the hell is going down at #LAX?,Police should assess threats and gather details on the reported shooting at Terminal 3 for public safety and scene security.,Police,CPU,Shootings,Sympathy and support,"Responder Roles: Police
Disaster Type: Shootings
Tweet: Shooting in Terminal 3? Hard to get specifics. RT @TOPolk What the hell is going down at #LAX?
Secondary Annotations: CPU
Information Type: Sympathy and support",14969
RT @Remroum: Saudi man injured in bombing in Boston. Saudi man called a terrorist suspect. Saudi man found to be a witness. #MediaFail,Assess injuries from the bombing and prepare for potential medical transport of affected individuals.,EMS,MMU,Bombings,Affected individuals,"Responder Roles: EMS
Disaster Type: Bombings
Tweet: RT @Remroum: Saudi man injured in bombing in Boston. Saudi man called a terrorist suspect. Saudi man found to be a witness. #MediaFail
Secondary Annotations: MMU
Information Type: Affected individuals",11435
RT @SovernNation: BREAKING: @CBSNews learns #TSA agent shot at #LAX has died; gunman was an off-duty TSA officer.,Assess potential casualties and medical needs related to the reported shooting incident at LAX.,EMS,MMU,Shootings,Affected individuals,"Responder Roles: EMS
Disaster Type: Shootings
Tweet: RT @SovernNation: BREAKING: @CBSNews learns #TSA agent shot at #LAX has died; gunman was an off-duty TSA officer.
Secondary Annotations: MMU
Information Type: Affected individuals",15225
Colorado Flooding Forces Evacuations -  Email Newsletters and Alerts The latest #news and analysis delivered to... http://t.co/1tZcK9kkBZ,Police should assess evacuation routes while firefighters evaluate potential rescue operations due to reported flooding.,Police/Firefighter,DCC/USAR,Floods,Affected individuals,"Responder Roles: Police, Firefighter
Disaster Type: Floods
Tweet: Colorado Flooding Forces Evacuations -  Email Newsletters and Alerts The latest #news and analysis delivered to... http://t.co/1tZcK9kkBZ
Secondary Annotations: DCC, USAR
Information Type: Affected individuals",13057
#News 32 to Hospital After Glasgow Helicopter Crash http://t.co/cmPYOsOx0q,Police should assess traffic control needs and coordinate with DCC in response to the helicopter crash involving 32 individuals.,Police,DCC,Crash,Affected individuals,"Responder Roles: Police
Disaster Type: Crash
Tweet: #News 32 to Hospital After Glasgow Helicopter Crash http://t.co/cmPYOsOx0q
Secondary Annotations: DCC
Information Type: Affected individuals",14182
America is being attack again !  #BostonMarathon #bomblast,Police should assess potential threats and ensure scene security following reports of bombings during the Boston Marathon.,Police,CPU,Bombings,Other Useful Information,"Responder Roles: Police
Disaster Type: Bombings
Tweet: America is being attack again !  #BostonMarathon #bomblast
Secondary Annotations: CPU
Information Type: Other Useful Information",11055
Wow! Scary... “@wral: 500 injured by blasts as meteor falls in Russia http://t.co/KGyy6v5G” #weneedbrucewillis,"Police should assess crowd control and potential criminal activity, while EMS prepares for triage and transport of reported injuries.",Police/EMS,DCC/MMU,Meteorite,Affected individuals,"Responder Roles: Police, EMS
Disaster Type: Meteorite
Tweet: Wow! Scary... “@wral: 500 injured by blasts as meteor falls in Russia http://t.co/KGyy6v5G” #weneedbrucewillis
Secondary Annotations: DCC, MMU
Information Type: Affected individuals",20488
"“@USGSBigQuakes: Strong earthquake,  COSTA RICA, Sep-8 20:29 UTC, http://t.co/Ywrk2EZ1”//se siguen acomodando las placas",Police should assess potential public safety threats and coordinate response efforts following the reported earthquake in Costa Rica.,Police,DCC,Earthquake,Other Useful Information,"Responder Roles: Police
Disaster Type: Earthquake
Tweet: “@USGSBigQuakes: Strong earthquake,  COSTA RICA, Sep-8 20:29 UTC, http://t.co/Ywrk2EZ1”//se siguen acomodando las placas
Secondary Annotations: DCC
Information Type: Other Useful Information",2285
Live coverage of the Colorado Springs fires from the Denver Post via http://t.co/leEpgA8m - http://t.co/5hTsLgjd,Firefighters should monitor fire spread and containment efforts in Colorado Springs based on live coverage updates.,Firefighter,FC,Wildfire,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Live coverage of the Colorado Springs fires from the Denver Post via http://t.co/leEpgA8m - http://t.co/5hTsLgjd
Secondary Annotations: FC
Information Type: Other Useful Information",1113
RT @COEmergency: .@ColoradoDOT: #coflood Incredible road damage on US 36 between Lyons and Estes Park. http://t.co/T8Rl6NPpPW,Police should assess reported road damage on US 36 for potential traffic hazards and public safety risks.,Police,DCC,Floods,Infrastructure and utilities,"Responder Roles: Police
Disaster Type: Floods
Tweet: RT @COEmergency: .@ColoradoDOT: #coflood Incredible road damage on US 36 between Lyons and Estes Park. http://t.co/T8Rl6NPpPW
Secondary Annotations: DCC
Information Type: Infrastructure and utilities",13831
DBJ special report: Colorado's floods http://t.co/TU0OldqvMt #denver,Police should monitor flood impacts and assess potential evacuation needs based on the report of Colorado's floods.,Police,DCC,Floods,Other Useful Information,"Responder Roles: Police
Disaster Type: Floods
Tweet: DBJ special report: Colorado's floods http://t.co/TU0OldqvMt #denver
Secondary Annotations: DCC
Information Type: Other Useful Information",13499
RT @Projonmo13: Our heart &amp; prayer goes for the Savar building collapse. #shahbag #saveBangladesh #pray4SAVAR #Bangladesh,Responders should prepare for possible search and rescue operations following the Savar building collapse.,Firefighter,USAR,Collapse,Sympathy and support,"Responder Roles: Firefighter
Disaster Type: Collapse
Tweet: RT @Projonmo13: Our heart &amp; prayer goes for the Savar building collapse. #shahbag #saveBangladesh #pray4SAVAR #Bangladesh
Secondary Annotations: USAR
Information Type: Sympathy and support",22651
Gunman kills one and injures others at LAX airport in Los Angeles | World news http://t.co/2pA8Ng0ae5,Assess reported injuries and casualties at LAX; prioritize medical response and transport for affected individuals.,EMS,MMU,Shootings,Affected individuals,"Responder Roles: EMS
Disaster Type: Shootings
Tweet: Gunman kills one and injures others at LAX airport in Los Angeles | World news http://t.co/2pA8Ng0ae5
Secondary Annotations: MMU
Information Type: Affected individuals",15685
"RT @Reuters: Bangladesh factory building collapse kills over 70, injures hundreds http://t.co/NAuPvWsV9V","Firefighters should assess for trapped individuals, while EMS prepares for mass casualty triage and transport of the injured.",Firefighter/EMS,USAR/MMU,Collapse,Affected individuals,"Responder Roles: Firefighter, EMS
Disaster Type: Collapse
Tweet: RT @Reuters: Bangladesh factory building collapse kills over 70, injures hundreds http://t.co/NAuPvWsV9V
Secondary Annotations: USAR, MMU
Information Type: Affected individuals",22701
Hospital patients flee rising floods: Heavy flooding in Australia caused by torrential rains has forced mass eva... http://t.co/4JZioCQR,Police should monitor evacuation routes while EMS prepares for medical emergencies as hospital patients flee rising floods.,Police/EMS,DCC/MMU,Floods,Affected individuals,"Responder Roles: Police, EMS
Disaster Type: Floods
Tweet: Hospital patients flee rising floods: Heavy flooding in Australia caused by torrential rains has forced mass eva... http://t.co/4JZioCQR
Secondary Annotations: DCC, MMU
Information Type: Affected individuals",19941
"Flames visible on front side now. http://t.co/v58lkNG1 little tuft of smoke on left hand side. #FlagstaffFire. Oooh, feeling rain!","Firefighters should evaluate the situation for fire spread and containment, focusing on visible flames and smoke reported.",Firefighter,FC,Wildfire,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Flames visible on front side now. http://t.co/v58lkNG1 little tuft of smoke on left hand side. #FlagstaffFire. Oooh, feeling rain!
Secondary Annotations: FC
Information Type: Other Useful Information",516
RT @BBCBreaking: Canada police say 20 dead and 30 missing from fuel train explosion in Lac-Megantic http://t.co/HBB9h02C9j,"Police should assess scene security and potential criminal activity, while EMS prepares for triage and patient transport for casualties.",Police/EMS,CPU/MMU,Derailment,Affected individuals,"Responder Roles: Police, EMS
Disaster Type: Derailment
Tweet: RT @BBCBreaking: Canada police say 20 dead and 30 missing from fuel train explosion in Lac-Megantic http://t.co/HBB9h02C9j
Secondary Annotations: CPU, MMU
Information Type: Affected individuals",16651
Join me in praying for the Waco residents affected by the massive explosion last night.  May your hearts be comforted during this time.,Police should assess potential threats and ensure scene security for Waco residents affected by the explosion.,Police,DCC,Explosion,Sympathy and support,"Responder Roles: Police
Disaster Type: Explosion
Tweet: Join me in praying for the Waco residents affected by the massive explosion last night.  May your hearts be comforted during this time.
Secondary Annotations: DCC
Information Type: Sympathy and support",27551
"Pray for West, Texas","Police should monitor for threats and assess public safety following the explosion in West, Texas.",Police,DCC,Explosion,Sympathy and support,"Responder Roles: Police
Disaster Type: Explosion
Tweet: Pray for West, Texas
Secondary Annotations: DCC
Information Type: Sympathy and support",27761
RT @smh: Some more details on the evacuation order issued for #Grafton - #SES says this is a 'flood of record'. #bigwet http://t.co/MR8SBto2,Police should ensure evacuation compliance and monitor for potential criminal activity amid the reported flood of record in Grafton.,Police,DCC,Floods,Caution and advice,"Responder Roles: Police
Disaster Type: Floods
Tweet: RT @smh: Some more details on the evacuation order issued for #Grafton - #SES says this is a 'flood of record'. #bigwet http://t.co/MR8SBto2
Secondary Annotations: DCC
Information Type: Caution and advice",19835
Coming up at 7 with @corriemartin1 - the latest from our reporter @GillianWheelan on the #clutha helicopter crash in Glasgow.,Police should monitor the helicopter crash updates for public safety and traffic control implications.,Police,DCC,Crash,Other Useful Information,"Responder Roles: Police
Disaster Type: Crash
Tweet: Coming up at 7 with @corriemartin1 - the latest from our reporter @GillianWheelan on the #clutha helicopter crash in Glasgow.
Secondary Annotations: DCC
Information Type: Other Useful Information",14145
"RT @YourAnonNews: Canada: Oil train explodes, 60 people missing, 30 buildings destroyed [VIDEO] ─► https://t.co/HUTiIcvsOK","Police should secure the scene and assess for criminal activity, while firefighters prepare for fire spread and structural risks from the derailment.",Police/Firefighter,DCC/USAR,Derailment,Affected individuals,"Responder Roles: Police, Firefighter
Disaster Type: Derailment
Tweet: RT @YourAnonNews: Canada: Oil train explodes, 60 people missing, 30 buildings destroyed [VIDEO] ─► https://t.co/HUTiIcvsOK
Secondary Annotations: DCC, USAR
Information Type: Affected individuals",16089
@orgasmicgomez  Probe seeks cause of NYC train crash that killed 4   @onedirslaytion,Police should assess potential criminal activity and ensure scene security following the NYC train crash that killed 4.,Police,DCC,Derailment,Infrastructure and utilities,"Responder Roles: Police
Disaster Type: Derailment
Tweet: @orgasmicgomez  Probe seeks cause of NYC train crash that killed 4   @onedirslaytion
Secondary Annotations: DCC
Information Type: Infrastructure and utilities",18602
"RT @adhieyz: #earthquake M  6.1  KEP. MENTAWAI REGION, INDONESIA: Magnitude  M  6.1Region  KEP. MENTAWAI REGION, INDONESIADat... http:// ...",Police should assess potential public safety threats and coordinate emergency response following the reported earthquake.,Police,DCC,Earthquake,Not labeled,"Responder Roles: Police
Disaster Type: Earthquake
Tweet: RT @adhieyz: #earthquake M  6.1  KEP. MENTAWAI REGION, INDONESIA: Magnitude  M  6.1Region  KEP. MENTAWAI REGION, INDONESIADat... http:// ...
Secondary Annotations: DCC
Information Type: Not labeled",2472
Small relief that the crash wasn't accompanied by explosion/fire. Hope all got out without serious injury. No real news on that yet #clutha,Police should monitor the crash scene for injuries and ensure public safety as more information becomes available.,Police,DCC,Crash,Sympathy and support,"Responder Roles: Police
Disaster Type: Crash
Tweet: Small relief that the crash wasn't accompanied by explosion/fire. Hope all got out without serious injury. No real news on that yet #clutha
Secondary Annotations: DCC
Information Type: Sympathy and support",13918
Colorado wildfire hops road: Firefighters Thursday made progress against a massive wildfire 15 miles west of For... http://t.co/ZGeaE7su,Firefighters should evaluate fire spread and containment progress near the road to ensure safety for all involved.,Firefighter,FC,Wildfire,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Colorado wildfire hops road: Firefighters Thursday made progress against a massive wildfire 15 miles west of For... http://t.co/ZGeaE7su
Secondary Annotations: FC
Information Type: Other Useful Information",203
RT @mayskich: Какой суровый челябинский романтик пообещал своей любимой 14 февраля звезду с неба? #RussianMeteor #Chelyabinsk #Meteor #м ...,Monitor for potential injuries or medical needs related to meteorite impacts.,EMS,MMU,Meteorite,Not applicable,"Responder Roles: EMS
Disaster Type: Meteorite
Tweet: RT @mayskich: Какой суровый челябинский романтик пообещал своей любимой 14 февраля звезду с неба? #RussianMeteor #Chelyabinsk #Meteor #м ...
Secondary Annotations: MMU
Information Type: Not applicable",20404
@55Bentley The Waldo fire is less than 5 Miles from Air Force Academy. Colorado is burning up. All I smell is smoke.,Firefighters should evaluate the wildfire's proximity to the Air Force Academy and focus on containment due to smoke reports.,Firefighter,FC,Wildfire,Affected individuals,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: @55Bentley The Waldo fire is less than 5 Miles from Air Force Academy. Colorado is burning up. All I smell is smoke.
Secondary Annotations: FC
Information Type: Affected individuals",498
Wtf a helicopter has crashed in a pub in Glasgow? ????? The Clutha or suhin at the clyde side,"Police should manage crowd control and secure the site, while firefighters assess fire hazards and structural safety after the helicopter crash.",Police/Firefighter,DCC/USAR,Crash,Infrastructure and utilities,"Responder Roles: Police, Firefighter
Disaster Type: Crash
Tweet: Wtf a helicopter has crashed in a pub in Glasgow? ????? The Clutha or suhin at the clyde side
Secondary Annotations: DCC, USAR
Information Type: Infrastructure and utilities",13869
#RussianMeteor http://t.co/QjbZB2nI WTF!!! Is legitimate?,Police should assess public safety concerns and monitor for crowd control issues related to the reported meteorite event.,Police,DCC,Meteorite,Not labeled,"Responder Roles: Police
Disaster Type: Meteorite
Tweet: #RussianMeteor http://t.co/QjbZB2nI WTF!!! Is legitimate?
Secondary Annotations: DCC
Information Type: Not labeled",20406
"7.2 quake hits central Philippines, killing 4 - http://t.co/sx1fmLwhGb","Police should secure the scene, firefighters may need to conduct rescues, and EMS should prepare for casualties from the earthquake.",Police/Firefighter/EMS,DCC/USAR/MMU,Earthquake,Affected individuals,"Responder Roles: Police, Firefighter, EMS
Disaster Type: Earthquake
Tweet: 7.2 quake hits central Philippines, killing 4 - http://t.co/sx1fmLwhGb
Secondary Annotations: DCC, USAR, MMU
Information Type: Affected individuals",9929
RT @LucyJWhyte: Helicopter removed from #Clutha bar http://t.co/uulmU9jR9D,Police should monitor the scene for public safety and assess potential crowd control needs after the helicopter's removal.,Police,DCC,Crash,Other Useful Information,"Responder Roles: Police
Disaster Type: Crash
Tweet: RT @LucyJWhyte: Helicopter removed from #Clutha bar http://t.co/uulmU9jR9D
Secondary Annotations: DCC
Information Type: Other Useful Information",14635
Historical Loboc Church after the Earthquake. :(( http://t.co/MNbmjIFl0b #PrayForBohol #PrayForCebu,Firefighters should evaluate Loboc Church for structural risks and search for any trapped individuals following the earthquake.,Firefighter,USAR,Earthquake,Infrastructure and utilities,"Responder Roles: Firefighter
Disaster Type: Earthquake
Tweet: Historical Loboc Church after the Earthquake. :(( http://t.co/MNbmjIFl0b #PrayForBohol #PrayForCebu
Secondary Annotations: USAR
Information Type: Infrastructure and utilities",9980
RT @weathernetwork: Police cruiser abandoned off Memorial Drive in #yyc. Photo by Brigette Jobin #yycflood http://t.co/K2ePD3GgHK,Police should evaluate the abandoned cruiser on Memorial Drive for safety concerns related to the ongoing floods.,Police,DCC,Floods,Other Useful Information,"Responder Roles: Police
Disaster Type: Floods
Tweet: RT @weathernetwork: Police cruiser abandoned off Memorial Drive in #yyc. Photo by Brigette Jobin #yycflood http://t.co/K2ePD3GgHK
Secondary Annotations: DCC
Information Type: Other Useful Information",7896
RT @esa: RT @esaoperations: ESA experts confirm *no* link between #meteor incidents in #Russia &amp; #Asteroid #2012DA14 Earth flyby of  ...,Police should monitor public concerns about meteorite incidents and assess any potential safety threats.,Police,DCC,Meteorite,Other Useful Information,"Responder Roles: Police
Disaster Type: Meteorite
Tweet: RT @esa: RT @esaoperations: ESA experts confirm *no* link between #meteor incidents in #Russia &amp; #Asteroid #2012DA14 Earth flyby of  ...
Secondary Annotations: DCC
Information Type: Other Useful Information",20529
RT @Ratchet2English: So far this week - #prayfortexas  - #prayforboston  - two 14 year olds killed a homeless man as a dare - bomb threats …,"Police should assess threats from bomb incidents, while EMS prepares for potential medical emergencies in the area.",Police/EMS,CPU/MMU,Explosion,Not labeled,"Responder Roles: Police, EMS
Disaster Type: Explosion
Tweet: RT @Ratchet2English: So far this week - #prayfortexas  - #prayforboston  - two 14 year olds killed a homeless man as a dare - bomb threats …
Secondary Annotations: CPU, MMU
Information Type: Not labeled",27691
"RT @NewsBreaker: BREAKING: Train stuck in flood water in Ontario, Canada; passengers stranded http://t.co/WLS7GDrn7u http://t.co/JwT9gVuFhJ…",Police should assess passenger safety and coordinate evacuation for those stranded in the flooded train in Ontario.,Police,DCC,Floods,Not applicable,"Responder Roles: Police
Disaster Type: Floods
Tweet: RT @NewsBreaker: BREAKING: Train stuck in flood water in Ontario, Canada; passengers stranded http://t.co/WLS7GDrn7u http://t.co/JwT9gVuFhJ…
Secondary Annotations: DCC
Information Type: Not applicable",8628
Three arrests so far in Brazil nightclub blaze: Wakes and burials begin for 233 victims - mostly university stud... http://t.co/rrpWuQgD,Police should assess ongoing public safety concerns and potential criminal activity related to the nightclub fire and arrests.,Police,DCC,Fire,Other Useful Information,"Responder Roles: Police
Disaster Type: Fire
Tweet: Three arrests so far in Brazil nightclub blaze: Wakes and burials begin for 233 victims - mostly university stud... http://t.co/rrpWuQgD
Secondary Annotations: DCC
Information Type: Other Useful Information",12540
"In QLD's Criminal Code, stealing by looting (s398, subs 13) carries a max penalty of 10 years' jail #bigwet #qldfloods http://t.co/PvNLj00d",Police should monitor for looting and ensure public safety during the flood situation in QLD.,Police,CPU,Floods,Caution and advice,"Responder Roles: Police
Disaster Type: Floods
Tweet: In QLD's Criminal Code, stealing by looting (s398, subs 13) carries a max penalty of 10 years' jail #bigwet #qldfloods http://t.co/PvNLj00d
Secondary Annotations: CPU
Information Type: Caution and advice",19928
BBC News: Bangladesh collapse toll passes 400: The number killed in the collapse of a factory building in Bang... http://t.co/BnBCAqZfzE,Police should assess crowd control needs and potential criminal activity following the factory collapse that has reportedly resulted in over 400 fatalities.,Police,DCC,Collapse,Affected individuals,"Responder Roles: Police
Disaster Type: Collapse
Tweet: BBC News: Bangladesh collapse toll passes 400: The number killed in the collapse of a factory building in Bang... http://t.co/BnBCAqZfzE
Secondary Annotations: DCC
Information Type: Affected individuals",23151
"@ColdJadedWolf We're fine. The flooding in north of us,but my bf's mum is stuck in Queensland.","Police should assess evacuation needs and monitor for crime, while firefighters may need to prepare for search and rescue operations.",Police/Firefighter,DCC/USAR,Floods,Affected individuals,"Responder Roles: Police, Firefighter
Disaster Type: Floods
Tweet: @ColdJadedWolf We're fine. The flooding in north of us,but my bf's mum is stuck in Queensland.
Secondary Annotations: DCC, USAR
Information Type: Affected individuals",19945
Magnitude-7.1 earthquake hits the Philippines:        http://t.co/wBso0bkbij,"Following the earthquake, police should monitor for crowd control and crime, firefighters must assess structural risks, and EMS should prepare for injuries.",Police/Firefighter/EMS,DCC/USAR/MMU,Earthquake,Other Useful Information,"Responder Roles: Police, Firefighter, EMS
Disaster Type: Earthquake
Tweet: Magnitude-7.1 earthquake hits the Philippines:        http://t.co/wBso0bkbij
Secondary Annotations: DCC, USAR, MMU
Information Type: Other Useful Information",9978
RT @CNN: Meteor in Russia injures more than 700 - watch the explosion: http://t.co/jQizf8cs,"Police should assess crowd control and potential crime, while EMS prepares for triage and medical support for the injured.",Police/EMS,DCC/MMU,Meteorite,Affected individuals,"Responder Roles: Police, EMS
Disaster Type: Meteorite
Tweet: RT @CNN: Meteor in Russia injures more than 700 - watch the explosion: http://t.co/jQizf8cs
Secondary Annotations: DCC, MMU
Information Type: Affected individuals",20813
RT @TimesCall: Colorado's High Park fire has burned nearly 58 square miles. http://t.co/dqqFGDjr,"Firefighters should evaluate containment measures for the High Park fire, which has affected a significant area of 58 square miles.",Firefighter,FC,Wildfire,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: RT @TimesCall: Colorado's High Park fire has burned nearly 58 square miles. http://t.co/dqqFGDjr
Secondary Annotations: FC
Information Type: Other Useful Information",71
"RT @cwharlow: Holy fuck! @AJELive: UPDATE: #Bangladesh garment factory collapse death toll surpasses 900, says army | http://t.co/H81ABa5l…",Police should evaluate crowd control and security measures due to the reported collapse and high casualty toll.,Police,DCC,Collapse,Affected individuals,"Responder Roles: Police
Disaster Type: Collapse
Tweet: RT @cwharlow: Holy fuck! @AJELive: UPDATE: #Bangladesh garment factory collapse death toll surpasses 900, says army | http://t.co/H81ABa5l…
Secondary Annotations: DCC
Information Type: Affected individuals",23499
RT @AP: MORE: Suspect in LAX shooting in custody: http://t.co/8OiBemH3mx -CJ,Police should evaluate scene security and any potential threats following the suspect's custody in the LAX shooting incident.,Police,CPU,Shootings,Other Useful Information,"Responder Roles: Police
Disaster Type: Shootings
Tweet: RT @AP: MORE: Suspect in LAX shooting in custody: http://t.co/8OiBemH3mx -CJ
Secondary Annotations: CPU
Information Type: Other Useful Information",15197
